ID;ROL;MICROSERVICIO;MÉTODO;ENDPOINT;DESCRIPCIÓN;ENTRADA(JSON);TOKEN/ROL REQUERIDO;RESPUESTA ESPERADA;HTTP STATUS;VALIDACIONES CLAVE;RESULTADO(OK/FAIL)
073;transportista;servicio-logistica;GET;/api-logistica/tramos/estado/PENDIENTE;Listar tramos por estado;N/A;Bearer token JWT (cualquier rol);Lista de tramos con estado = 'PENDIENTE';200;Estados: PENDIENTE, EN_TRANSITO, FINALIZADO. Útil para asignación de camiones.;
074;operador;servicio-logistica;POST;/api-logistica/tramos;Crear nuevo tramo;{"idRuta":1,"origenDireccion":"Av. Colón 100","origenLatitud":-31.4200,"origenLongitud":-64.1888,"destinoDireccion":"Depósito Central","destinoLatitud":-31.3900,"destinoLongitud":-64.1600,"distanciaKm":5.5,"duracionEstimadaMinutos":18,"estado":"PENDIENTE"};Bearer token JWT (rol operador);Tramo creado: {"id":2,"idRuta":1,"estado":"PENDIENTE"};200;Validar que la ruta exista. Estado inicial debe ser PENDIENTE.;
075;operador;servicio-logistica;PUT;/api-logistica/tramos/1;Actualizar tramo existente;{"idRuta":1,"origenDireccion":"Av. Colón 100 Modificado","origenLatitud":-31.4200,"origenLongitud":-64.1888,"destinoDireccion":"Depósito Central","destinoLatitud":-31.3900,"destinoLongitud":-64.1600,"distanciaKm":5.8,"duracionEstimadaMinutos":20,"estado":"PENDIENTE"};Bearer token JWT (rol operador);Tramo actualizado;200;Validar que estado sea PENDIENTE. No se puede editar si está EN_TRANSITO o FINALIZADO.;
076;operador;servicio-logistica;DELETE;/api-logistica/tramos/1;Eliminar tramo existente;N/A;Bearer token JWT (rol operador);Cuerpo vacío (No Content);204;Validar que estado sea PENDIENTE. No se puede eliminar si está EN_TRANSITO.;
077;operador;servicio-logistica;PUT;/api-logistica/tramos/1/asignar-camion?patente=AA123BB&peso=1500&volumen=2.5;Asignar camión a tramo;N/A;Bearer token JWT (rol operador);Tramo actualizado: {"id":1,"patenteCamion":"AA123BB","estado":"PENDIENTE"};200;Valida capacidad del camión >= peso y volumen solicitados. Camión debe estar disponible.;
078;operador;servicio-logistica;PUT;/api-logistica/tramos/1/asignar-camion?patente=ZZ999ZZ&peso=1500&volumen=2.5;Asignar camión inexistente a tramo;N/A;Bearer token JWT (rol operador);Error: {"timestamp":"2024-01-15T10:30:00","status":404,"error":"Not Found","message":"Camión no encontrado con patente: ZZ999ZZ","path":"/api-logistica/tramos/1/asignar-camion"};404;Debe validar que el camión exista en servicio-flota (comunicación REST).;
079;operador;servicio-logistica;PUT;/api-logistica/tramos/1/asignar-camion?patente=AA123BB&peso=100000&volumen=2.5;Asignar camión con capacidad insuficiente;N/A;Bearer token JWT (rol operador);Error: {"timestamp":"2024-01-15T10:30:00","status":400,"error":"Bad Request","message":"El camión AA123BB no tiene capacidad suficiente para peso 100000.0 (capacidad: 5000.0)","path":"/api-logistica/tramos/1/asignar-camion"};400;Validación de negocio: capacidadPeso >= peso solicitado.;
080;transportista;servicio-logistica;PATCH;/api-logistica/tramos/1/iniciar;Iniciar tramo asignado;N/A;Bearer token JWT (rol transportista);Tramo iniciado: {"id":1,"estado":"EN_TRANSITO","fechaHoraInicio":"2024-01-15T10:30:00"};200;Cambia estado PENDIENTE → EN_TRANSITO. Registra fechaHoraInicio. Camión debe estar asignado.;
081;transportista;servicio-logistica;PATCH;/api-logistica/tramos/1/iniciar;Iniciar tramo sin camión asignado;N/A;Bearer token JWT (rol transportista);Error: {"timestamp":"2024-01-15T10:30:00","status":409,"error":"Conflict","message":"No se puede iniciar un tramo sin camión asignado","path":"/api-logistica/tramos/1/iniciar"};409;Validación de estado: patenteCamion != null requerido.;
082;transportista;servicio-logistica;PATCH;/api-logistica/tramos/1/iniciar;Iniciar tramo ya iniciado;N/A;Bearer token JWT (rol transportista);Error: {"timestamp":"2024-01-15T10:30:00","status":409,"error":"Conflict","message":"El tramo ya está en estado EN_TRANSITO","path":"/api-logistica/tramos/1/iniciar"};409;Validación de transición de estado: solo PENDIENTE → EN_TRANSITO es válida.;
083;transportista;servicio-logistica;PATCH;/api-logistica/tramos/1/finalizar?kmReales=5.8&costoKmCamion=150.0&consumoCamion=0.35;Finalizar tramo en tránsito;N/A;Bearer token JWT (rol transportista);Tramo finalizado: {"id":1,"estado":"FINALIZADO","fechaHoraFin":"2024-01-15T11:00:00","costoTotal":870.0,"estadiasDepositosTotal":0.0};200;Cambia estado EN_TRANSITO → FINALIZADO. Registra fechaHoraFin. Calcula costoTotal = kmReales * costoKmCamion. Calcula estadías si pasó por depósitos.;
084;transportista;servicio-logistica;PATCH;/api-logistica/tramos/1/finalizar?kmReales=5.8&costoKmCamion=150.0&consumoCamion=0.35;Finalizar tramo no iniciado;N/A;Bearer token JWT (rol transportista);Error: {"timestamp":"2024-01-15T10:30:00","status":409,"error":"Conflict","message":"Solo se pueden finalizar tramos en estado EN_TRANSITO","path":"/api-logistica/tramos/1/finalizar"};409;Validación de transición: solo EN_TRANSITO → FINALIZADO es válida.;
085;transportista;servicio-logistica;PATCH;/api-logistica/tramos/1/finalizar?kmReales=-5.8&costoKmCamion=150.0&consumoCamion=0.35;Finalizar tramo con km negativos;N/A;Bearer token JWT (rol transportista);Error: {"timestamp":"2024-01-15T10:30:00","status":400,"error":"Bad Request","message":"Los kilómetros reales deben ser mayores a 0","path":"/api-logistica/tramos/1/finalizar"};400;Validación de entrada: kmReales > 0 requerido.;
086;operador;servicio-logistica;GET;/api-logistica/rutas;Listar todas las rutas;N/A;Bearer token JWT (cualquier rol);Lista de rutas: [{"id":1,"idSolicitud":1,"distanciaKm":5.8,"duracionMinutos":15}];200;Debe incluir todas las rutas del sistema.;
087;operador;servicio-logistica;GET;/api-logistica/rutas/1;Obtener ruta por ID;N/A;Bearer token JWT (cualquier rol);Ruta completa: {"id":1,"idSolicitud":1,"distanciaKm":5.8,"duracionMinutos":15};200;ID debe existir.;
088;operador;servicio-logistica;GET;/api-logistica/rutas/solicitud/1;Listar rutas de una solicitud;N/A;Bearer token JWT (cualquier rol);Lista de rutas filtradas por idSolicitud = 1;200;Filtro WHERE id_solicitud = 1. Una solicitud puede tener múltiples rutas si se replanifica.;
089;operador;servicio-logistica;POST;/api-logistica/rutas;Crear nueva ruta;{"idSolicitud":1,"distanciaKm":5.8,"duracionMinutos":15};Bearer token JWT (rol operador);Ruta creada: {"id":2,"idSolicitud":1};200;Validar que la solicitud exista. Se crean tramos asociados en proceso separado.;
090;operador;servicio-logistica;PUT;/api-logistica/rutas/1;Actualizar ruta existente;{"idSolicitud":1,"distanciaKm":6.2,"duracionMinutos":18};Bearer token JWT (rol operador);Ruta actualizada;200;Permite ajustar métricas. Validar que no tenga tramos FINALIZADOS.;
091;operador;servicio-logistica;DELETE;/api-logistica/rutas/1;Eliminar ruta existente;N/A;Bearer token JWT (rol operador);Cuerpo vacío (No Content);204;Validar que no tenga tramos EN_TRANSITO. Eliminar en cascada tramos PENDIENTES.;
092;ANY;servicio-gestion;GET;/api-gestion/clientes;Acceso sin token JWT (No autorizado);N/A;Sin token Bearer;Error: {"timestamp":"2024-01-15T10:30:00","status":401,"error":"Unauthorized","message":"No se proporcionó token JWT o es inválido","path":"/api-gestion/clientes"};401;Spring Security debe bloquear acceso sin autenticación.;
093;ANY;servicio-flota;GET;/api-flota/camiones;Token JWT expirado;N/A;Bearer token EXPIRADO;Error: {"timestamp":"2024-01-15T10:30:00","status":401,"error":"Unauthorized","message":"El token JWT ha expirado","path":"/api-flota/camiones"};401;OAuth2 Resource Server valida exp claim del JWT.;
094;cliente;servicio-gestion;POST;/api-gestion/clientes;Token JWT con rol insuficiente (cliente intenta crear cliente);{"nombre":"Intruso","apellido":"Malicioso","email":"intruso@mail.com"};Bearer token JWT (rol cliente);Error: {"timestamp":"2024-01-15T10:30:00","status":403,"error":"Forbidden","message":"Acceso denegado. Se requiere rol: operador","path":"/api-gestion/clientes"};403;@PreAuthorize en controller debe verificar roles. Solo operador puede crear clientes.;
095;transportista;servicio-logistica;DELETE;/api-logistica/solicitudes/1;Token JWT con rol insuficiente (transportista intenta eliminar solicitud);N/A;Bearer token JWT (rol transportista);Error: {"timestamp":"2024-01-15T10:30:00","status":403,"error":"Forbidden","message":"Acceso denegado. Se requiere rol: operador","path":"/api-logistica/solicitudes/1"};403;Solo operador puede eliminar solicitudes. Transportista solo puede gestionar tramos asignados.;
096;operador;servicio-gestion;GET;/api-gestion/actuator/health;Endpoint de health check;N/A;N/A (público);{"status":"UP","components":{"db":{"status":"UP"},"diskSpace":{"status":"UP"}}};200;Endpoint público para monitoreo. No requiere autenticación.;
097;operador;servicio-flota;GET;/api-flota/actuator/metrics;Endpoint de métricas Actuator;N/A;Bearer token JWT (rol operador);Métricas de Micrometer: {"names":["jvm.memory.used","http.server.requests"]};200;Puede requerir autenticación según configuración. Útil para monitoreo APM.;
098;operador;ALL;GET;/api-*/swagger-ui/index.html;Acceso a Swagger UI;N/A;N/A (público o según config);Interfaz Swagger UI con documentación OpenAPI;200;SpringDoc debe estar habilitado. Puede ser público en dev, protegido en prod.;
099;operador;servicio-logistica;POST;/api-logistica/solicitudes/completa;Validación compleja: crear solicitud con email inválido en cliente;{"numeroSeguimiento":"SEG-2024-005","origenDireccion":"Origen","origenLatitud":-31.42,"origenLongitud":-64.19,"destinoDireccion":"Destino","destinoLatitud":-31.40,"destinoLongitud":-64.15,"clienteNombre":"Test","clienteApellido":"User","clienteEmail":"email-invalido","clienteTelefono":"351999","clienteCuil":"20999999999","contenedorCodigo":"CONT-007","contenedorPeso":1000.0,"contenedorVolumen":2.0};Bearer token JWT (rol operador);Error: {"timestamp":"2024-01-15T10:30:00","status":400,"error":"Bad Request","message":"El email del cliente debe ser válido","path":"/api-logistica/solicitudes/completa"};400;Validación @Email debe detectar formato inválido incluso en endpoint complejo con múltiples entidades.;
100;operador;servicio-logistica;PATCH;/api-logistica/tramos/1/finalizar?kmReales=10.5&costoKmCamion=150.0&consumoCamion=0.35;Validación de estadías: tramo con 3 días en depósito;N/A;Bearer token JWT (rol transportista);Tramo finalizado con estadías: {"id":1,"estado":"FINALIZADO","costoTotal":1575.0,"estadiasDepositosTotal":1500.0,"diasEstadia":3};200;Si el tramo pasó por depósito y hay diferencia de 3 días entre fechaHoraInicio y fechaHoraFin, se calculan estadías: 3 días * $500/día = $1500. Validar método calcularEstadiasEnDepositos().;
